SID,SEASON,NUMBER,NAME,ISO_TIME,MEAN_LAT,MEAN_LON,MEAN_WIND,MEAN_PRES,NATURE,DIST2LAND,LANDFALL,STORM_SPEED
1999203N17129,1999,47,NEIL,1999-07-27 12:00:00,35.2,126.075,34.75,988.3333333333334,TS,14,14,9
1999203N17129,1999,47,NEIL,1999-07-27 15:00:00,35.6,126.0,32.333333333333336,989.6666666666666,TS,45,45,8
1999203N17129,1999,47,NEIL,1999-07-27 18:00:00,36.025,126.05000000000001,31.333333333333332,990.6666666666666,TS,37,8,9
1999203N17129,1999,47,NEIL,1999-07-27 21:00:00,36.475,126.15,28.0,993.3333333333334,TS,8,0,9
1999208N06139,1999,50,OLGA,1999-08-02 18:00:00,31.525,125.9,67.0,971.6666666666666,TS,193,96,17
1999208N06139,1999,50,OLGA,1999-08-02 21:00:00,32.475,125.875,66.5,972.6666666666666,TS,86,27,19
1999208N06139,1999,50,OLGA,1999-08-03 00:00:00,33.45,125.875,65.75,973.3333333333334,TS,35,35,18
1999208N06139,1999,50,OLGA,1999-08-03 03:00:00,34.275000000000006,125.92500000000001,62.25,976.0,TS,49,18,17
1999208N06139,1999,50,OLGA,1999-08-03 06:00:00,35.175,126.0,58.5,978.3333333333334,TS,21,21,20
1999208N06139,1999,50,OLGA,1999-08-03 09:00:00,36.25,126.07499999999999,53.75,982.0,TS,21,0,23
1999208N06139,1999,50,OLGA,1999-08-03 12:00:00,37.5,126.25,48.5,985.0,TS,20,0,27
1999213N12144,1999,53,PAUL,1999-08-07 09:00:00,33.125,126.2,29.0,994.0,TS,14,14,12
1999213N12144,1999,53,PAUL,1999-08-07 12:00:00,33.27499999999999,125.475,28.0,994.3333333333334,TS,55,55,13
1999213N12144,1999,53,PAUL,1999-08-07 15:00:00,33.43333333333333,124.73333333333333,27.0,995.0,TS,139,139,14
1999213N12144,1999,53,PAUL,1999-08-07 18:00:00,33.53333333333334,123.93333333333334,27.0,995.5,TS,214,214,11
1999213N12144,1999,53,PAUL,1999-08-07 21:00:00,33.53333333333334,123.36666666666667,25.5,997.0,TS,229,200,8
1999213N12144,1999,53,PAUL,1999-08-08 00:00:00,33.56666666666667,122.93333333333334,24.0,998.5,TS,193,167,8
1999213N12144,1999,53,PAUL,1999-08-08 03:00:00,33.666666666666664,122.43333333333334,22.0,998.5,TS,159,131,8
1999213N12144,1999,53,PAUL,1999-08-08 06:00:00,33.800000000000004,122.0,19.5,998.5,MX,131,115,6
1999213N12144,1999,53,PAUL,1999-08-08 09:00:00,34.03333333333334,121.7,18.5,998.5,MX,110,102,6
1999213N12144,1999,53,PAUL,1999-08-08 12:00:00,34.333333333333336,121.43333333333334,17.0,998.5,MX,102,74,7
1999213N12144,1999,53,PAUL,1999-08-08 15:00:00,34.4,121.1,19.0,998.5,MX,74,56,9
1999213N12144,1999,53,PAUL,1999-08-08 18:00:00,34.75,120.7,19.0,998.5,MX,66,62,9
1999213N12144,1999,53,PAUL,1999-08-08 21:00:00,34.95,120.3,19.0,999.0,MX,69,54,7
1999213N12144,1999,53,PAUL,1999-08-09 00:00:00,35.1,119.94999999999999,19.0,999.5,MX,54,36,4
1999213N12144,1999,53,PAUL,1999-08-09 03:00:00,35.1,119.8,19.0,999.5,MX,36,36,2
1999213N12144,1999,53,PAUL,1999-08-09 06:00:00,35.1,119.75,19.0,999.5,MX,36, ,1
1999218N21116,1999,56,RACHEL,1999-08-09 15:00:00,31.9,124.80000000000001,23.0,1000.0,TS,201,200,16
1999218N21116,1999,56,RACHEL,1999-08-09 18:00:00,32.400000000000006,124.19999999999999,20.0,1000.0,TS,211,202,13
1999218N21116,1999,56,RACHEL,1999-08-09 21:00:00,32.8,123.7,20.0,1000.0,TS,207,193,11
1999218N21116,1999,56,RACHEL,1999-08-10 00:00:00,33.150000000000006,123.30000000000001,20.0,1000.0,TS,198,190,11
1999218N21116,1999,56,RACHEL,1999-08-10 03:00:00,33.650000000000006,123.0,18.0,1000.0,TS,207,201,12
1999218N21116,1999,56,RACHEL,1999-08-10 06:00:00,34.2,122.65,15.0,1000.0,TS,208,184,11
1999218N21116,1999,56,RACHEL,1999-08-10 09:00:00,34.65,122.19999999999999,15.0,1001.0,TS,177,157,11
1999218N21116,1999,56,RACHEL,1999-08-10 12:00:00,35.0,121.80000000000001,15.0,1002.0,TS,157,109,10
1999218N21116,1999,56,RACHEL,1999-08-10 15:00:00,35.3,121.35,13.0,1002.0,TS,100,58,10
1999218N21116,1999,56,RACHEL,1999-08-10 18:00:00,35.55,120.9,10.0,1002.0,TS,58,33,8
1999230N12129,1999,62,SAM,1999-08-25 12:00:00,32.5,121.6,19.0,1004.0,MX,21,21,17
